STUD ID   STUDENT ANSWERS          SCORE/40       PERCENT        GRADE
Correct Answers: BCEAEEDDCEAABCBBACCB
--------------------------------------------------------------------------------
132391    BCEAEEDDCEAABCEABC B     35/40          87.50          B    
119718    BCEAEEDDCEAABCBDEECB     37/40          92.50          A    
125667    BCEAEEDDCEAADB EB AB     31/40          77.50          C    
117673    BCEAEEDDCEAAA A E BB     30/40          75.00          C    
132662    BCEAEEDDCEAAEAAAABCB     35/40          87.50          B    
112316    BCEAEEDDCEAAED CEDEB     32/40          80.00          B    
119264    BCEAEEDDCEAAEBBAC  B     32/40          80.00          B    
115006    BCEAEEDDCEAAEAA A AB     32/40          80.00          B    
118756    BCEAEEDDCEAAE A BEAB     31/40          77.50          C    
124626    BCEAEEDDCEAAEEADD CB     33/40          82.50          B    
104833    AEEDDCEAABCCACBBB        21/40          52.50          F    
131673    BCEAEEDDCEAAB CBDAEB     34/40          85.00          B    
126777    BCEADDBBEEAACEBACDCB     30/40          75.00          C    
122355    BCEAEEDDCEAAA D BEAB     31/40          77.50          C    
116941    BCEAEEDDCEAAEBDEBABB     33/40          82.50          B    
115457    BCEAEEDDCEAAAAEBEBBB     34/40          85.00          B    
124221    12EAEEDDCEAADDDAABBB     32/40          80.00          B    
100900    BCEAEEDDCEAADB CBDAB     32/40          80.00          B    
121548    BCEAEEDDCEAAEBE BADB     32/40          80.00          B    
109374    BCEAEEDDCEAADDCCAADB     34/40          85.00          B    
108281    BCEAEEDDCEAAEDCBDDEB     34/40          85.00          B    
118127    BCEAEEDDCEAA EECEDBB     32/40          80.00          B    
114310    BCEAEEDDCEAAAEEDEE B     32/40          80.00          B    
120600    BCEAEEDDCEAACCCADDCB     35/40          87.50          B    
105844    BCEAEEDDCEAA BE DCEB     32/40          80.00          B    
130523    BCEAEEDDCEAADEEBE BB     33/40          82.50          B    
120580    BCEAEEDDCEAABDCDCDDB     34/40          85.00          B    
120472    BCEAEEDDCEAA D EBBBB     31/40          77.50          C    
107958    BCEAEEDDCEAADEC  E B     30/40          75.00          C    
124272    BCEAEEDDCEAACACACEDB     33/40          82.50          B    
129869    BCEAEEDDCEAABBCCEEAB     34/40          85.00          B    
110021    BCEAEEDDCEAABECBCEDB     35/40          87.50          B    
102600    BCEAEEDDCEAACEBCDDEB     34/40          85.00          B    
115255    BCEAEEDDCEAAACDEAAEB     35/40          87.50          B    
12        17 BCEAEEDDCEAACDAADDBB  20/40          50.00          F    
119976    BCEAEEDDCEAABDECAC B     35/40          87.50          B    
107441    BCEAEEDDCEAAC DECCEB     33/40          82.50          B    
116279    BCEAEEDDCEAADAAECACB     34/40          85.00          B    
100193    BCEAEEDDCEAABCA BCCB     36/40          90.00          A    
112455    BCEAEEDDCEAA CCECADB     33/40          82.50          B    
104313    BCEAEEDDCEAABAAEAABB     35/40          87.50          B    
104313    BCEAEEDDCEAADBABDCCB     36/40          90.00          A    
123196    BCEAEEDDCEAAEB CBC B     32/40          80.00          B    
112044    BCEAEEDDCEAAACA EBCB     34/40          85.00          B    
104745    BCEAEEDDCEAACCCC BEB     33/40          82.50          B    
118787    BCEAEEDDCEAA AE AADB     32/40          80.00          B    
109314    BCEAEEDDCEAABCCBBCDB     37/40          92.50          A    
107487    BCEAEEDDCEAA  ECBDAB     31/40          77.50          C    
117192    BCEAEEDDCEAAEAECE        29/40          72.50          C    
130527    BCEAEEDDCEAABDEBCECB     36/40          90.00          A    
131003    BCEAEEDDCEAADE EBAEB     32/40          80.00          B    
117222    BCEAEEDDCEAACBCDAADB     34/40          85.00          B    
114270    BCEAEEDDCEAADEAEDDDB     33/40          82.50          B    
107285    BCEAEEDDCEAAECEADCCB     36/40          90.00          A    
126576    BCEAEEDDCEAACDBCEDEB     34/40          85.00          B    
123851    BCEAEEDDCEAACABECADB     34/40          85.00          B    
131060    BCEAEEDDCEAABB ADAEB     33/40          82.50          B    
112043    BCEAEEDDCEAAED ADCAB     33/40          82.50          B    
129577    BCEAEEDDCEAADBCCACCB     36/40          90.00          A    
106902    BCEAEEDDCEAACCACADDB     35/40          87.50          B    
101264    BCEAEEDDCEAAEDDDDEEB     33/40          82.50          B    
106411    BCEAEEDDCEAA AECCE B     31/40          77.50          C    
104940    BCEAEEDDCEAAAACBD AB     33/40          82.50          B    
108365    BCEAEEDDCEAA EBEEEAB     33/40          82.50          B    
119357    BCEAEEDDCEAADDEEEBDB     33/40          82.50          B    
114460    BCEAEEDDCEAAEC BAD B     34/40          85.00          B    
112835    BCEAEEDDCEAA ACCDCAB     33/40          82.50          B    
101626    BCEAEEDDCEAABBDAAECB     36/40          90.00          A    
112896    BCEAEEDDCEAAD DBBCAB     34/40          85.00          B    
124423    BCEAEEDDCEAAABADAEBB     34/40          85.00          B    
112053    BCEAEEDDCEAAADBEEBDB     34/40          85.00          B    
122532    BCEAEEDDCEAAEACDCCBB     34/40          85.00          B    
104675    BCEAEEDDCEAACBE EEBB     32/40          80.00          B    
121459    BCEAEEDDCEAA DADBDEB     32/40          80.00          B    
105556    BCEAEEDDCEAACBDEECDB     34/40          85.00          B    
120424    BCEAEEDDCEAACDBEBCBB     35/40          87.50          B    
100875    BCEAEEDDCEAACD   B B     29/40          72.50          C    
113169    BCEAEEDDCEAA DAC  EB     30/40          75.00          C    
125990    BCEAEEDDCEAADEDAEA B     32/40          80.00          B    
100335    BCEAEEDDCEAAD ECECBB     33/40          82.50          B    
123775    BCEAEEDDCEAA ECEECCB     34/40          85.00          B    
106467    BCEAEEDDCEAAAEA CD B     31/40          77.50          C    
120215    BCEAEEDDCEAAEBBBCABB     35/40          87.50          B    
102670    BCEAEEDDCEAAAEDEDEAB     33/40          82.50          B    
106287    BCEAEEDDCEAAEACCDCDB     34/40          85.00          B    
109010    BCEAEEDDCEAAAACDABCB     35/40          87.50          B    
107591    BCEAEEDDCEAA ADCEDEB     32/40          80.00          B    
100303    BCEAEEDDCEAAEA ECBAB     32/40          80.00          B    
122913    BCEAEEDDCEAADBCBAD B     34/40          85.00          B    
108519    BCEAEEDDCEAAEC   CEB     32/40          80.00          B    
128318    BCEAEEDDCEAABDDBCEBB     35/40          87.50          B    
128570    BCEAEEDDCEAACDDCBACB     34/40          85.00          B    
114015    BCEAEEDDCEAAEA DDADB     32/40          80.00          B    
122409    BCEAEEDDCEAACAAEBDAB     33/40          82.50          B    
121221    BCEAEEDDCEAADBEACBAB     33/40          82.50          B    
121430    BCEAEEDDCEAABABEEABB     35/40          87.50          B    
115185    BCEAEEDDCEAADCEEBCEB     35/40          87.50          B    
132257    BCEAEEDDCEAA  ADBBEB     31/40          77.50          C    
120355    BCEAEEDDCEAADED ABAB     33/40          82.50          B    
108075    BCEAEEDDCEAA  ADDEDB     31/40          77.50          C    
126173    BCEAEEDDCEAADDABCECB     35/40          87.50          B    
116565    BCEAEEDDCEAADBCDEACB     34/40          85.00          B    
123936    BCEAEEDDCEAA AC DDEB     31/40          77.50          C    
114625    BCEAEEDDCEAADAAAACCB     36/40          90.00          A    
